Artist,Listeners,Daily +/-,Peak,PkListeners
Mon Laferte,"15,220,623","33,699",621,"15,372,096"
Salim–Sulaiman,"15,210,557","5,324",524,"15,845,747"
Destiny's Child,"15,155,182","37,928",330,"22,189,099"
Slipknot,"15,124,310","19,161",543,"15,124,310"
Eslabon Armado,"15,106,101","-24,852",64,"40,132,836"
Juan Luis Guerra 4.40,"15,105,642","-18,545",567,"15,657,799"
Yorghaki,"15,092,786","-74,701",399,"19,224,061"
Shubh,"15,085,928","-20,978",521,"16,571,303"
Gucci Mane,"15,070,061","-37,870",401,"16,561,931"
Ozzy Osbourne,"15,051,447","-20,244",218,"27,871,194"
Matheus & Kauan,"15,039,166","12,745",595,"15,039,166"
Palak Muchhal,"15,006,666","5,274",414,"17,887,750"
Madhubanti Bagchi,"15,000,940","79,082",418,"18,065,371"
NLE Choppa,"14,983,457","-46,462",181,"24,991,591"
Jay Wheeler,"14,926,593",114,300,"19,956,526"
PNAU,"14,894,274","-8,529",220,"22,323,897"
MC Meno K,"14,885,881","137,744",651,"14,885,881"
The Pussycat Dolls,"14,847,066","-16,486",619,"14,921,163"
Alleh,"14,834,014","-72,152",422,"18,737,516"
Pablo Alborán,"14,805,771","-39,501",519,"14,872,280"
Tony Dize,"14,795,072","25,153",481,"15,601,281"
NATTI NATASHA,"14,784,721","15,401",331,"17,498,549"
Mary J. Blige,"14,753,931","46,572",638,"14,753,931"
Armin van Buuren,"14,744,888","-17,055",440,"16,859,283"
Ariis,"14,738,862","-50,575",374,"20,086,807"
Priya Saraiya,"14,721,165","-122,820",467,"17,930,909"
Rick Ross,"14,719,083","-39,649",479,"18,003,411"
Milo j,"14,702,009","-10,306",265,"21,285,336"
Diego & Victor Hugo,"14,693,182","-35,562",657,"14,728,744"
Bradley Cooper,"14,687,809","-50,090",457,"16,887,959"
Eden Muñoz,"14,687,255","-13,928",367,"17,438,441"
Bonnie Tyler,"14,683,855","11,126",583,"16,047,691"
Addison Rae,"14,680,080","-34,256",450,"17,980,039"
Darshan Raval,"14,678,147","-52,701",286,"20,349,184"
John Newman,"14,672,739","30,608",532,"15,591,878"
Alec Benjamin,"14,632,414","47,128",251,"23,650,761"
Santana,"14,607,599","-28,190",344,"17,002,770"
Mc Livinho,"14,586,654","-67,821",336,"21,311,861"
Kate Bush,"14,577,287","53,313",424,"14,577,287"
Sukhwinder Singh,"14,565,964","-17,912",600,"14,708,194"
Depeche Mode,"14,537,911","-65,124",418,"16,717,329"
Zé Neto & Cristiano,"14,534,382","3,477",584,"14,701,454"
Sting,"14,489,598","19,884",551,"14,870,169"
Ms. Lauryn Hill,"14,477,200","29,353",486,"16,319,683"
Steve Aoki,"14,435,651","59,746",216,"21,606,912"
La Oreja de Van Gogh,"14,429,429","60,132",462,"17,350,078"
3 Doors Down,"14,427,877","5,094",604,"14,902,350"
Nakama,"14,409,856","-47,024",521,"17,212,585"
Starship,"14,407,705","7,081",678,"14,450,952"
Nikhita Gandhi,"14,382,526",-800,485,"15,336,893"
Skillibeng,"14,368,887","-85,310",237,"25,460,164"
Hans Zimmer,"14,365,028","12,682",562,"14,365,028"
MAGIC!,"14,364,582","9,589",549,"14,945,320"
Shania Twain,"14,358,580","-43,934",352,"17,682,454"
SYML,"14,336,399","2,956",464,"14,726,953"
Lil Yachty,"14,328,581","-13,063",315,"20,524,026"
Robbie Williams,"14,302,871","-19,552",392,"18,905,659"
Shenseea,"14,295,525","-70,333",210,"27,045,924"
Morat,"14,278,636","-6,993",344,"16,643,863"
Yeat,"14,266,754","-2,798",149,"28,149,740"
Rashmi Virag,"14,258,137","5,619",520,"17,305,808"
The Strokes,"14,251,544","-31,757",423,"17,607,267"
MOLIY,"14,244,423","-50,516",234,"25,456,317"
Tracy Chapman,"14,233,726","51,428",348,"19,175,912"
The Smashing Pumpkins,"14,230,083","5,448",659,"14,230,083"
AURORA,"14,222,992","19,757",473,"14,920,783"
Mario,"14,217,192","63,878",701,"14,217,192"
Abhijeet,"14,209,393","-5,903",700,"14,215,296"
DJ Luian,"14,194,554","-9,238",293,"19,413,064"
Gnarls Barkley,"14,189,982","-72,613",695,"14,293,879"
Kim Petras,"14,177,561","-12,706",43,"46,551,289"
Shaan,"14,175,482","-12,368",623,"14,830,772"
Blondie,"14,164,819","-22,313",552,"14,187,132"
The White Stripes,"14,149,465","-3,229",290,"22,483,264"
TLC,"14,147,325","50,111",509,"15,896,784"
Fifth Harmony,"14,129,808","-16,878",539,"16,680,095"
