Artist,Listeners,Daily Trend,Peak,PkListeners
Foreigner,"14,883,942","-43,153",492,"16,792,715"
Salim–Sulaiman,"14,883,584","2,104",561,"15,015,171"
Alejandro Fernández,"14,881,220","22,608",404,"16,078,925"
MGMT,"14,848,274","-93,744",416,"18,279,387"
Simon & Garfunkel,"14,844,905","131,098",488,"16,424,922"
Mike Posner,"14,832,653","-3,357",400,"17,945,456"
NATTI NATASHA,"14,799,372","-6,693",331,"17,498,549"
S. P. Balasubrahmanyam,"14,785,861","23,459",573,"14,812,554"
Benny Dayal,"14,783,128","-45,771",522,"15,041,645"
Milo j,"14,761,737","-56,494",265,"21,285,336"
Gigi D'Agostino,"14,756,494","-33,220",509,"16,063,549"
Lola Young,"14,750,043","-92,727",558,"15,148,359"
¥$,"14,745,309","-21,086",106,"34,770,239"
Weezer,"14,738,381","-14,022",440,"17,152,581"
Hariharan,"14,736,582","-4,373",538,"14,767,188"
Lata Mangeshkar,"14,727,277","8,228",572,"14,805,915"
Lin-Manuel Miranda,"14,720,600","61,341",532,"14,720,600"
Coi Leray,"14,712,021","-11,463",72,"38,479,080"
Bryant Myers,"14,711,481","-22,454",341,"18,758,660"
Chuck Berry,"14,700,840","378,073",204,"26,745,756"
Capital Cities,"14,700,785","38,578",518,"15,735,026"
Hombres G,"14,644,915","92,494",589,"14,644,915"
Dimitri Vegas & Like Mike,"14,643,021","-13,988",357,"19,897,730"
Doechii,"14,635,640","-232,194",334,"18,255,625"
Van Morrison,"14,629,995","60,392",333,"21,361,390"
mgk,"14,628,801","-32,909",409,"16,617,303"
Ñengo Flow,"14,627,149","-47,894",207,"22,145,574"
Darell,"14,601,425","-82,335",238,"22,214,709"
Passenger,"14,585,637","-7,482",422,"16,765,920"
Imogen Heap,"14,493,300","27,192",597,"14,493,300"
Ricky Martin,"14,485,344","-24,140",365,"15,898,287"
MC Tuto,"14,476,480","108,597",599,"14,476,480"
Slipknot,"14,474,354","-6,145",543,"14,480,499"
Lynyrd Skynyrd,"14,472,348","-31,998",389,"17,985,151"
Madison Beer,"14,456,412",-819,339,"19,836,973"
Sajid-Wajid,"14,447,324","9,578",591,"14,505,561"
Pearl Jam,"14,436,372","62,949",488,"15,656,385"
Jess Glynne,"14,408,780","144,079",605,"14,408,780"
The Outfield,"14,382,536","-116,836",406,"18,751,264"
Tove Lo,"14,378,664","-12,737",321,"16,726,850"
Manan Bhardwaj,"14,362,978","31,840",247,"24,056,763"
TLC,"14,361,788","-6,925",509,"15,896,784"
Jason Mraz,"14,354,876","-49,912",282,"21,336,382"
Armin van Buuren,"14,341,259","-7,043",440,"16,690,011"
Portugal. The Man,"14,338,539","197,547",590,"14,338,539"
Teezo Touchdown,"14,330,914","-530,598",533,"15,597,127"
Yseult,"14,301,425","114,261",288,"22,756,249"
Roxette,"14,300,599","83,616",520,"15,877,772"
Cher,"14,299,706","170,613",217,"25,664,744"
Jatin-Lalit,"14,296,113","2,337",588,"14,475,800"
blackbear,"14,279,793","20,586",259,"19,962,853"
Jesse & Joy,"14,270,103","-33,104",440,"15,999,739"
GIMS,"14,246,309","-16,088",528,"15,500,721"
Laura Pausini,"14,225,808","241,402",621,"14,225,808"
Em Beihold,"14,217,661","56,033",135,"26,666,031"
Bob Dylan,"14,197,056","-64,387",492,"16,331,047"
Alex Warren,"14,144,040","151,904",564,"14,820,105"
Niall Horan,"14,046,351","-59,304",129,"27,578,996"
SYML,"14,018,624","43,149",464,"14,726,953"
